first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Eddie,Nketiah,4,2,63,1071,16,128.2,213.4,598.0,5,161,93.1,2,0,3,1.8,63,FWD
Gabriel,Fernando de Jesus,11,7,125,2064,23,407.3,594.2,1282.0,17,401,228.3,9,0,6,28.3,81,FWD
Nathan,Butler-Oyedeji,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Ollie,Watkins,15,8,175,3129,40,408.5,792.0,1268.0,25,550,247.0,13,0,4,12.8,73,FWD
Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,FWD
Cameron,Archer,0,0,6,43,1,2.4,1.8,6.0,0,13,0.9,0,0,0,1.7,42,FWD
Jhon,Durán,0,0,11,126,4,13.4,12.8,51.0,0,15,7.4,0,0,1,0.0,55,FWD
Kieffer,Moore,4,0,57,1269,34,89.6,216.2,272.0,3,161,57.3,3,0,1,0.7,49,FWD
Dominic,Solanke,6,10,130,2865,52,279.9,524.8,1046.0,14,339,184.4,8,0,2,3.6,56,FWD
Christian,Saydee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Euan,Pollock,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Antoine,Semenyo,1,0,18,250,6,26.5,50.0,32.0,1,56,10.7,0,0,0,0.0,50,FWD
Ivan,Toney,20,4,182,2953,42,424.3,926.8,1240.0,35,607,258.7,10,0,9,18.2,71,FWD
Bryan,Mbeumo,9,9,150,2905,39,766.3,662.4,866.0,19,556,229.3,10,0,5,4.0,57,FWD
Marcus,Forss,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Halil,Dervişoğlu,0,1,4,6,0,0.0,0.0,10.0,0,11,1.0,0,0,0,0.5,45,FWD
Danny,Welbeck,6,5,91,1844,28,390.6,378.2,782.0,5,296,155.4,6,0,0,2.1,65,FWD
Deniz,Undav,5,2,52,614,9,105.7,157.6,333.0,4,173,59.5,2,0,2,0.8,50,FWD
Julio,Enciso,4,3,57,794,12,161.0,255.8,370.0,7,189,78.5,4,0,1,2.4,46,FWD
Evan,Ferguson,6,2,65,942,12,129.1,284.2,350.0,8,213,76.5,6,0,1,1.7,46,FWD
Timo,Werner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,79,FWD
Kai,Havertz,7,1,102,2565,31,513.3,470.2,1012.0,13,301,199.3,9,0,5,3.2,74,FWD
Armando,Broja,1,1,21,285,5,18.2,64.6,113.0,0,56,19.7,1,0,0,0.3,52,FWD
Pierre-Emerick,Aubameyang,1,0,25,546,8,59.4,55.0,177.0,3,61,28.5,1,0,1,0.7,84,FWD
David Datro,Fofana,0,0,3,68,1,34.6,15.2,30.0,0,8,8.0,0,0,0,0.1,50,FWD
João,Félix Sequeira,4,0,44,936,16,135.2,203.6,287.0,7,126,61.9,2,1,1,1.7,71,FWD
Christian,Benteke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,FWD
Odsonne,Edouard,5,2,82,1788,25,227.7,351.6,544.0,5,225,111.5,5,0,3,2.0,50,FWD
Jean-Philippe,Mateta,2,0,41,748,10,67.1,115.8,240.0,3,96,41.0,3,0,3,0.3,51,FWD
Luke,Plange,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,FWD
John-Kymani,Gordon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
Neal,Maupay,1,0,41,1104,19,109.9,85.8,429.0,3,86,62.2,3,0,4,0.5,56,FWD
Salomón,Rondón,0,0,7,103,2,26.1,7.4,41.0,0,12,7.3,0,0,0,0.3,49,FWD
Dominic,Calvert-Lewin,2,1,40,1166,22,122.4,138.4,409.0,2,89,66.4,4,0,3,0.3,79,FWD
Thomas,Cannon,0,0,2,23,1,11.6,5.0,21.0,0,7,3.8,0,0,0,0.0,45,FWD
Ellis,Simms,1,0,17,219,4,39.3,40.8,54.0,0,59,13.0,0,0,0,0.1,45,FWD
Aleksandar,Mitrović,14,2,107,2010,30,216.5,584.8,1141.0,14,324,193.1,7,0,7,12.5,66,FWD
Rodrigo,Muniz Carvalho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,FWD
Jay,Stansfield,0,1,7,85,2,12.8,8.4,46.0,0,22,6.7,0,0,0,0.7,45,FWD
Terry,Ablade,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
Carlos Vinícius,Alves Morais,5,2,72,1098,20,118.3,244.0,370.0,10,206,72.7,1,0,3,0.5,54,FWD
Jamie,Vardy,3,5,82,1841,38,173.5,287.0,451.0,4,206,90.6,4,0,1,2.3,91,FWD
Kelechi,Iheanacho,5,5,82,1112,23,228.9,306.6,437.0,9,237,95.7,1,0,0,0.9,58,FWD
Patson,Daka,4,4,70,1169,24,223.6,295.2,440.0,3,231,95.1,5,0,2,0.8,56,FWD
Patrick,Bamford,4,5,70,1510,31,171.6,252.2,588.0,3,157,99.6,1,0,3,0.4,71,FWD
Sam,Greenwood,1,2,30,410,11,210.5,121.8,85.0,1,107,41.6,0,0,1,10.8,41,FWD
Joe,Gelhardt,0,2,20,201,3,32.1,49.4,114.0,0,44,19.4,0,0,1,0.2,51,FWD
Wilfried,Gnonto,2,4,55,1346,28,323.5,264.8,253.0,6,183,84.3,4,0,7,0.7,47,FWD
Mateo Joseph,Fernández,0,0,3,24,0,0.2,3.0,19.0,0,5,2.2,0,0,0,0.0,45,FWD
Sonny,Perkins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Georginio,Rutter,0,1,15,263,9,38.3,36.2,41.0,0,45,11.4,0,0,0,0.0,50,FWD
Roberto,Firmino,11,4,104,1202,17,293.2,542.0,792.0,12,447,162.8,4,0,0,3.2,80,FWD
Diogo,Teixeira da Silva,7,4,80,1125,19,237.9,304.2,337.0,9,282,87.5,5,0,2,2.0,86,FWD
Darwin,Núñez Ribeiro,9,5,100,1684,22,336.9,458.2,1078.0,8,310,186.0,7,1,1,6.4,86,FWD
Erling,Haaland,36,9,272,2767,26,371.0,1390.0,1825.0,40,1040,358.1,13,0,5,78.4,124,FWD
Julián,Álvarez,9,3,103,1448,16,271.1,430.8,545.0,14,393,124.7,5,0,0,7.7,61,FWD
Liam,Delap,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
Cristiano Ronaldo,dos Santos Aveiro,1,0,20,519,8,83.2,63.8,218.0,3,42,35.6,3,0,2,1.9,102,FWD
Anthony,Martial,6,3,66,970,8,179.0,305.2,376.0,4,230,85.4,7,0,0,2.9,63,FWD
Shola,Shoretire,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Wout,Weghorst,0,1,24,790,11,183.7,97.6,140.0,0,56,42.1,4,0,1,0.3,54,FWD
Callum,Wilson,18,6,157,1870,16,271.0,720.0,1020.0,20,526,200.4,10,0,4,17.2,73,FWD
Dwight,Gayle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Alexander,Isak,10,2,100,1520,20,244.1,475.0,693.0,18,353,141.1,4,0,3,12.7,70,FWD
Chris,Wood,3,0,53,807,9,82.1,145.2,169.0,7,163,39.3,4,0,0,0.5,56,FWD
Lyle,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,41,FWD
Sam,Surridge,1,0,26,306,5,15.9,59.4,92.0,3,61,15.7,0,0,2,0.7,46,FWD
Brennan,Johnson,8,5,122,2930,54,373.6,478.2,729.0,15,384,157.4,7,0,6,1.6,55,FWD
Taiwo,Awoniyi,10,1,100,1395,29,129.6,375.8,378.0,16,320,87.8,5,0,2,1.2,56,FWD
Emmanuel,Dennis,2,2,39,709,17,96.8,166.4,286.0,3,113,54.6,1,0,3,0.1,56,FWD
Dale,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Adam,Armstrong,2,1,54,1321,24,148.8,142.0,275.0,3,161,55.6,1,0,2,0.7,53,FWD
Che,Adams,5,5,94,1987,41,336.4,340.4,583.0,9,262,124.6,4,0,1,0.8,60,FWD
Sékou,Mara,1,2,32,538,10,77.5,104.8,169.0,0,90,33.9,0,0,1,0.1,53,FWD
Jimmy,Morgan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Paul,Onuachu,0,0,14,401,7,52.8,30.2,126.0,0,23,20.6,1,0,0,0.0,53,FWD
Dominic,Ballard,0,0,2,24,0,0.3,1.0,0.0,0,4,0.1,0,0,0,0.0,45,FWD
Harry,Kane,30,9,263,3406,62,744.8,1256.6,1707.0,48,1008,371.0,11,0,6,32.7,115,FWD
Dane,Scarlett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Troy,Parrott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Richarlison,de Andrade,1,5,54,995,18,221.0,201.6,401.0,2,165,82.0,3,0,3,0.8,84,FWD
Danny,Ings,8,2,97,1579,26,186.0,398.4,604.0,13,317,118.6,5,0,4,1.4,63,FWD
Michail,Antonio,5,3,84,1822,29,207.7,305.8,559.0,4,222,107.0,5,0,2,1.5,69,FWD
Gianluca,Scamacca,3,0,41,921,12,160.7,151.8,312.0,7,110,62.0,3,0,3,0.6,66,FWD
Divin,Mubama,0,0,3,36,0,11.4,2.4,0.0,0,7,1.4,0,0,0,0.1,45,FWD
Raúl,Jiménez,0,2,29,839,18,116.0,74.6,273.0,0,65,46.3,2,0,0,0.3,65,FWD
Fabio,Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Sasa,Kalajdzic,0,0,1,45,0,0.0,0.0,9.0,0,-1,0.7,0,0,0,0.0,53,FWD
Diego,Da Silva Costa,1,0,33,1235,17,144.3,96.8,504.0,3,40,73.3,6,1,5,0.3,53,FWD
Nathan,Fraser,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
Matheus,Santos Carneiro Da Cunha,2,0,39,961,12,95.1,143.0,217.0,6,122,45.1,5,0,1,0.1,53,FWD
