first_name,second_name,goals_scored,assists,minutes,influence,threat,now_cost
Folarin,Balogun,0,0,0,0.0,0.0,44
Cédric,Alves Soares,0,0,59,2.0,0.0,38
Mohamed,Elneny,0,1,25,4.0,10.0,44
Fábio,Ferreira Vieira,1,3,290,82.8,85.0,54
Gabriel,dos Santos Magalhães,3,1,3042,675.8,379.0,54
Kai,Havertz,13,10,2627,763.2,1027.0,76
Gabriel,Fernando de Jesus,4,7,1470,364.8,756.0,77
Jorge Luiz,Frello Filho,0,2,913,165.4,16.0,53
Jakub,Kiwior,1,3,942,228.8,90.0,40
Marcus,Oliveira Alencar,0,0,0,0.0,0.0,45
Gabriel,Martinelli Silva,6,5,2010,500.4,795.0,75
Eddie,Nketiah,5,4,1065,235.0,417.0,50
Martin,Ødegaard,8,11,3098,910.4,757.0,86
Thomas,Partey,0,0,785,117.6,37.0,48
Nicolas,Pépé,0,0,0,0.0,0.0,49
Aaron,Ramsdale,0,0,540,73.2,0.0,45
Rúnar Alex,Rúnarsson,0,0,0,0.0,0.0,40
Bukayo,Saka,16,12,2922,1093.8,1342.0,88
William,Saliba,2,1,3420,697.2,140.0,59
Emile,Smith Rowe,0,2,343,62.4,128.0,53
Kieran,Tierney,0,0,0,0.0,0.0,44
Takehiro,Tomiyasu,2,1,1140,247.0,143.0,45
Leandro,Trossard,12,2,1633,563.6,746.0,66
Benjamin,White,4,5,2987,765.8,234.0,61
Granit,Xhaka,0,0,0,0.0,0.0,60
Oleksandr,Zinchenko,1,2,1717,395.4,133.0,50
David,Raya Martin,0,0,2880,413.0,0.0,53
Declan,Rice,7,9,3225,959.4,451.0,55
Reiss,Nelson,0,0,256,42.8,39.0,48
Jurriën,Timber,0,0,70,5.8,2.0,46
Karl,Hein,0,0,0,0.0,0.0,40
Charles,Sagoe,0,0,0,0.0,0.0,45
Reuell,Walters,0,0,0,0.0,0.0,40
Bradley,Ibrahim,0,0,0,0.0,0.0,45
Myles,Lewis-Skelly,0,0,0,0.0,0.0,45
Ethan,Nwaneri,0,0,13,2.0,4.0,45
Mauro,Bandeira,0,0,0,0.0,0.0,45
James,Sweet,0,0,0,0.0,0.0,40
Alexandre,Moreno Lopera,2,0,1024,217.8,152.0,49
Leon,Bailey,10,11,2063,663.2,623.0,54
Emiliano,Buendía Stati,0,0,0,0.0,0.0,57
Matty,Cash,2,2,2138,465.2,378.0,45
Calum,Chambers,0,1,149,39.0,0.0,38
Philippe,Coutinho Correia,0,0,24,4.0,12.0,58
Keinan,Davis,0,0,0,0.0,0.0,49
Leander,Dendoncker,1,1,118,59.2,37.0,49
Diego Carlos,Santos Silva,0,0,1809,370.4,100.0,44
Lucas,Digne,1,4,2405,448.4,200.0,46
Douglas Luiz,Soares de Paulo,9,5,2994,761.8,381.0,54
Jhon,Durán,5,1,461,190.2,165.0,50
Kortney,Hause,0,0,0,0.0,0.0,39
Tim,Iroegbunam,0,0,157,18.6,0.0,44
Boubacar,Kamara,0,1,1653,256.2,44.0,50
Ezri,Konsa Ngoyo,1,1,3069,554.4,223.0,45
Emiliano,Martínez Romero,0,0,3015,802.0,0.0,52
John,McGinn,6,5,3000,640.4,360.0,53
Tyrone,Mings,0,0,30,3.6,5.0,41
Robin,Olsen,0,0,405,194.6,0.0,39
Jaden,Philogene-Bidace,0,0,3,0.4,2.0,45
Jacob,Ramsey,1,1,848,124.0,182.0,59
Morgan,Sanson,0,0,0,0.0,0.0,45
Viljami,Sinisalo,0,0,0,0.0,0.0,40
Youri,Tielemans,2,6,1613,369.2,136.0,56
Bertrand,Traoré,0,0,10,3.0,0.0,50
Ollie,Watkins,19,18,3222,1024.6,1420.0,89
Wesley,Moraes Ferreira da Silva,0,0,0,0.0,0.0,50
Pau,Torres,2,0,2462,479.4,135.0,46
Moussa,Diaby,6,11,2168,515.4,675.0,63
Omari,Kellyman,0,0,35,2.6,2.0,45
Filip,Marschall,0,0,0,0.0,0.0,40
Nicolò,Zaniolo,2,0,824,146.8,357.0,54
Oliwier,Zych,0,0,0,0.0,0.0,40
Clément,Lenglet,0,1,1153,250.6,103.0,45
Sam,Proctor,0,0,0,0.0,0.0,40
Tommi,O'Reilly,0,0,0,0.0,0.0,45
James,Wright,0,0,0,0.0,0.0,40
Kaine,Kesler-Hayden,0,0,5,0.0,0.0,40
Morgan,Rogers,3,1,636,177.8,150.0,50
Joe,Gauci,0,0,0,0.0,0.0,39
Finley,Munroe,0,0,3,0.0,0.0,40
Kadan,Young,0,0,0,0.0,0.0,45
Lander,Emery,0,0,0,0.0,0.0,40
Jaidon,Anthony,0,0,151,9.0,16.0,49
Philip,Billing,2,3,1385,304.2,267.0,51
David,Brooks,1,1,271,88.2,113.0,47
Ryan,Christie,0,5,2908,620.2,351.0,50
Lewis,Cook,0,3,2787,520.2,67.0,48
Siriki,Dembélé,0,0,0,0.0,0.0,45
Ryan,Fredericks,0,0,0,0.0,0.0,43
James,Hill,0,0,74,32.6,0.0,40
Lloyd,Kelly,0,1,1553,279.0,48.0,45
Gavin,Kilkenny,0,0,0,0.0,0.0,43
Justin,Kluivert,7,1,1910,362.2,619.0,46
Jamal,Lowe,0,0,0,0.0,0.0,49
Emiliano,Marcondes,0,0,0,0.0,0.0,43
Chris,Mepham,0,1,613,142.6,27.0,43
Kieffer,Moore,1,0,100,37.4,81.0,46
Norberto,Murara Neto,0,0,2880,875.2,0.0,46
Dango,Ouattara,1,2,1214,298.4,332.0,47
Ben,Pearson,0,0,0,0.0,0.0,45
Darren,Randolph,0,0,0,0.0,0.0,39
Joe,Rothwell,0,0,380,45.8,5.0,48
Antoine,Semenyo,8,4,2099,506.8,748.0,45
Marcos,Senesi,4,5,2239,735.0,147.0,44
Adam,Smith,0,3,2148,336.4,27.0,44
Dominic,Solanke,19,3,3325,902.0,1348.0,69
Marcus,Tavernier,3,4,2118,468.4,460.0,50
Hamed,Traorè,0,0,44,12.8,30.0,47
Mark,Travers,0,0,360,92.6,0.0,40
Illia,Zabarnyi,1,0,3330,686.0,117.0,44
Milos,Kerkez,0,2,1966,310.0,150.0,44
Ionuț,Radu,0,0,180,33.0,0.0,43
Ben,Greenwood,0,0,0,0.0,0.0,40
Max,Aarons,0,1,1233,179.6,27.0,44
Alex,Scott,1,1,1003,197.0,116.0,49
Tyler,Adams,0,0,118,24.6,10.0,49
Luis,Sinisterra,2,2,685,221.4,343.0,55
Romain,Faivre,0,0,37,5.0,13.0,50
Max,Kinsey,0,0,0,0.0,0.0,40
Enes,Ünal,2,4,317,142.4,242.0,50
Dominic,Sadi,0,0,1,0.0,0.0,45
Michael,Dacosta Gonzalez,0,0,0,0.0,0.0,45
Callan,McKenna,0,0,0,0.0,0.0,40
Kristoffer,Ajer,2,1,1826,406.8,223.0,44
Ellery,Balcombe,0,0,0,0.0,0.0,39
Shandon,Baptiste,1,1,222,92.4,60.0,43
Mads,Bech Sørensen,0,0,0,0.0,0.0,40
