first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Folarin,Balogun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
Gabriel,Fernando de Jesus,4,7,85,1470,11,403.0,364.8,756.0,10,271,152.7,11,0,6,2.6,77,FWD
Eddie,Nketiah,5,4,71,1065,10,136.3,235.0,417.0,5,206,77.2,6,0,3,3.1,50,FWD
Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,FWD
Jhon,Durán,5,1,50,461,12,55.2,190.2,165.0,7,162,40.2,0,0,5,0.2,50,FWD
Ollie,Watkins,19,18,228,3222,56,588.5,1024.6,1420.0,29,752,302.8,7,0,4,35.9,89,FWD
Wesley,Moraes Ferreira da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD
Kieffer,Moore,1,0,14,100,2,27.9,37.4,81.0,2,38,14.1,0,0,0,0.2,46,FWD
Antoine,Semenyo,8,4,107,2099,33,411.2,506.8,748.0,14,363,166.8,8,0,6,2.0,45,FWD
Dominic,Solanke,19,3,175,3325,61,479.6,902.0,1348.0,20,560,272.7,10,0,3,17.8,69,FWD
Enes,Ünal,2,4,40,317,9,58.6,142.4,242.0,3,99,43.7,1,0,1,0.0,50,FWD
Halil,Dervişoğlu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Ivan,Toney,4,3,57,1449,30,206.5,289.6,524.0,4,159,101.7,3,0,5,3.7,77,FWD
Yoane,Wissa,12,4,131,2488,40,384.0,592.8,769.0,15,457,173.2,11,0,7,5.1,57,FWD
Neal,Maupay,6,3,76,1417,37,242.5,325.8,568.0,6,248,112.6,4,0,8,0.9,49,FWD
Aaron,Connolly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Evan,Ferguson,6,1,69,1356,28,106.7,275.0,393.0,5,218,77.3,2,0,1,3.5,57,FWD
João Pedro,Junqueira de Jesus,9,3,104,2037,38,578.8,622.4,932.0,12,406,213.4,5,0,2,6.1,52,FWD
Deniz,Undav,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Danny,Welbeck,5,4,79,1687,28,320.9,326.2,492.0,5,261,114.0,8,0,4,1.0,57,FWD
Andi,Zeqiri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44,FWD
Mark,O’Mahony,0,0,2,61,1,1.6,6.0,6.0,0,5,1.3,0,0,1,0.0,45,FWD
Lyle,Foster,5,3,75,1898,43,263.4,364.2,467.0,4,229,109.6,2,1,0,0.4,47,FWD
Michael,Obafemi,0,0,2,19,0,0.6,0.0,17.0,0,4,1.7,0,0,0,0.0,49,FWD
Jay,Rodriguez,2,1,41,811,18,66.2,138.8,232.0,3,108,42.6,1,0,0,0.2,53,FWD
Wout,Weghorst,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
David Datro,Fofana,4,1,50,876,18,111.7,212.0,273.0,8,133,59.2,1,0,1,0.2,50,FWD
Zeki,Amdouni,5,1,85,1953,41,246.5,372.8,509.0,11,243,112.4,5,0,2,0.2,51,FWD
Pierre-Emerick,Aubameyang,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,FWD
Romelu,Lukaku Bolingoli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,68,FWD
Nicolas,Jackson,14,6,142,2801,48,501.7,783.8,1098.0,12,479,237.7,9,0,10,17.9,70,FWD
Christopher,Nkunku,3,0,29,437,12,74.5,134.6,222.0,4,96,42.7,0,0,0,1.0,72,FWD
Mason,Burstow,0,0,2,8,1,0.6,0.4,2.0,0,6,0.3,0,0,0,0.1,45,FWD
Deivid Washington,de Souza Eugênio,0,0,2,11,1,0.1,0.0,4.0,0,5,0.4,0,0,0,0.1,45,FWD
Ronnie,Stutter,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Tyrique,George,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Odsonne,Edouard,7,0,79,1545,24,256.7,359.6,663.0,9,246,128.0,6,0,4,1.3,53,FWD
Jean-Philippe,Mateta,16,7,165,2274,44,404.0,775.0,741.0,22,563,191.9,8,0,3,7.3,51,FWD
Luke,Plange,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
John-Kymani,Gordon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Ademola,Ola-Adebomi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Franco,Umeh-Chibueze,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Dominic,Calvert-Lewin,7,3,101,2166,27,255.6,403.0,901.0,9,259,154.8,13,0,2,1.0,58,FWD
Ellis,Simms,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Youssef,Ramalho Chermiti,0,0,16,196,4,51.2,19.2,84.0,0,28,14.9,1,0,3,0.1,48,FWD
Thomas,Cannon,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,FWD
Norberto Bercique,Gomes Betuncal,3,0,50,943,20,139.6,158.8,425.0,3,105,71.3,2,0,2,0.1,57,FWD
Armando,Broja,1,2,35,529,9,70.3,75.6,152.0,0,72,29.0,3,0,0,0.2,49,FWD
Aleksandar,Mitrović,0,0,1,32,0,0.3,6.4,26.0,0,6,3.3,0,0,0,0.6,74,FWD
Rodrigo,Muniz Carvalho,9,2,97,1589,27,213.1,409.0,875.0,12,299,148.2,6,0,1,4.4,43,FWD
Carlos Vinícius,Alves Morais,2,0,22,306,5,61.3,83.6,139.0,2,77,28.2,0,0,2,0.9,45,FWD
Raúl,Jiménez,7,0,72,1390,29,185.9,335.8,440.0,13,237,95.1,4,1,3,0.6,50,FWD
Jay,Stansfield,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Darwin,Núñez Ribeiro,11,11,132,2033,25,439.1,660.8,1223.0,9,397,232.4,6,0,9,11.7,75,FWD
Cody,Gakpo,8,5,106,1633,20,348.2,521.4,708.0,12,409,157.1,5,0,1,3.1,71,FWD
Lewis,Koumas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Jayden,Danns,0,0,1,7,0,3.7,0.0,0.0,0,1,0.2,0,0,1,0.0,43,FWD
Elijah,Adebayo,10,1,94,1405,36,177.0,413.6,527.0,9,288,111.8,2,0,1,1.0,48,FWD
John,McAtee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45,FWD
Carlton,Morris,11,6,146,2859,72,305.6,620.2,908.0,18,451,183.4,3,0,4,4.3,47,FWD
Admiral,Muskwe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
Chiedozie,Ogbene,4,4,84,1987,47,378.3,412.6,486.0,7,387,127.7,2,0,1,0.1,48,FWD
Aribim,Pepple,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Joe,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
Cauley,Woodrow,1,1,33,406,11,127.1,127.0,103.0,3,118,35.8,0,0,2,0.6,43,FWD
Jacob,Brown,2,1,39,1013,26,116.4,162.6,249.0,3,115,52.0,1,0,4,0.1,49,FWD
Taylan,Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Julián,Álvarez,11,11,158,2644,24,1005.2,737.0,992.0,17,662,273.3,12,0,2,15.4,64,FWD
Erling,Haaland,27,8,217,2553,25,367.2,1094.6,1581.0,29,792,303.3,11,0,1,73.6,143,FWD
Anthony,Martial,1,1,25,439,6,85.0,67.2,97.0,2,73,24.5,1,0,0,0.3,64,FWD
Shola,Shoretire,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
Rasmus,Højlund,10,2,112,2156,35,345.8,480.6,648.0,14,362,147.0,6,0,2,5.6,71,FWD
Joe,Hugill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Ethan,Wheatley,0,0,3,13,0,0.0,2.0,0.0,0,6,0.2,0,0,0,0.0,45,FWD
Alexander,Isak,21,4,172,2253,41,362.5,877.4,1054.0,23,645,229.3,7,0,1,41.0,84,FWD
Callum,Wilson,9,1,69,981,15,110.3,366.2,563.0,4,246,103.2,6,0,3,3.0,78,FWD
Ben,Parkinson,0,0,1,24,1,0.0,2.0,0.0,0,2,0.2,0,0,0,0.0,45,FWD
Michael,Ndiweni,0,0,1,1,0,0.0,0.2,0.0,0,3,0.0,0,0,0,0.0,44,FWD
Taiwo,Awoniyi,6,3,67,1036,21,134.4,303.2,308.0,5,247,74.2,3,0,2,1.3,63,FWD
Emmanuel,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48,FWD
Sam,Surridge,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
Hwang,Ui-jo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
Chris,Wood,14,1,131,1801,34,281.1,598.2,795.0,22,456,167.4,2,0,0,1.7,47,FWD
