first_name,second_name,goals_scored,assists,minutes,influence,threat,now_cost
Eddie,Nketiah,4,2,1071,213.4,598.0,63
Gabriel,Fernando de Jesus,11,7,2064,594.2,1282.0,81
Nathan,Butler-Oyedeji,0,0,0,0.0,0.0,45
Ollie,Watkins,15,8,3129,792.0,1268.0,73
Keinan,Davis,0,0,0,0.0,0.0,54
Cameron,Archer,0,0,43,1.8,6.0,42
Jhon,Durán,0,0,126,12.8,51.0,55
Kieffer,Moore,4,0,1269,216.2,272.0,49
Dominic,Solanke,6,10,2865,524.8,1046.0,56
Christian,Saydee,0,0,0,0.0,0.0,45
Daniel,Adu-Adjei,0,0,0,0.0,0.0,45
Dominic,Sadi,0,0,0,0.0,0.0,45
Euan,Pollock,0,0,0,0.0,0.0,45
Antoine,Semenyo,1,0,250,50.0,32.0,50
Ivan,Toney,20,4,2953,926.8,1240.0,71
Bryan,Mbeumo,9,9,2905,662.4,866.0,57
Marcus,Forss,0,0,0,0.0,0.0,45
Halil,Dervişoğlu,0,1,6,0.0,10.0,45
Danny,Welbeck,6,5,1844,378.2,782.0,65
Deniz,Undav,5,2,614,157.6,333.0,50
Julio,Enciso,4,3,794,255.8,370.0,46
Evan,Ferguson,6,2,942,284.2,350.0,46
Timo,Werner,0,0,0,0.0,0.0,79
Kai,Havertz,7,1,2565,470.2,1012.0,74
Armando,Broja,1,1,285,64.6,113.0,52
Pierre-Emerick,Aubameyang,1,0,546,55.0,177.0,84
David Datro,Fofana,0,0,68,15.2,30.0,50
João,Félix Sequeira,4,0,936,203.6,287.0,71
Christian,Benteke,0,0,0,0.0,0.0,55
Odsonne,Edouard,5,2,1788,351.6,544.0,50
Jean-Philippe,Mateta,2,0,748,115.8,240.0,51
Luke,Plange,0,0,0,0.0,0.0,45
John-Kymani,Gordon,0,0,0,0.0,0.0,45
Neal,Maupay,1,0,1104,85.8,429.0,56
Salomón,Rondón,0,0,103,7.4,41.0,49
Dominic,Calvert-Lewin,2,1,1166,138.4,409.0,79
Thomas,Cannon,0,0,23,5.0,21.0,45
Ellis,Simms,1,0,219,40.8,54.0,45
Aleksandar,Mitrović,14,2,2010,584.8,1141.0,66
Rodrigo,Muniz Carvalho,0,0,0,0.0,0.0,54
Jay,Stansfield,0,1,85,8.4,46.0,45
Terry,Ablade,0,0,0,0.0,0.0,45
Carlos Vinícius,Alves Morais,5,2,1098,244.0,370.0,54
Jamie,Vardy,3,5,1841,287.0,451.0,91
Kelechi,Iheanacho,5,5,1112,306.6,437.0,58
Patson,Daka,4,4,1169,295.2,440.0,56
Patrick,Bamford,4,5,1510,252.2,588.0,71
Sam,Greenwood,1,2,410,121.8,85.0,41
Joe,Gelhardt,0,2,201,49.4,114.0,51
Wilfried,Gnonto,2,4,1346,264.8,253.0,47
Mateo Joseph,Fernández,0,0,24,3.0,19.0,45
Sonny,Perkins,0,0,0,0.0,0.0,45
Georginio,Rutter,0,1,263,36.2,41.0,50
Roberto,Firmino,11,4,1202,542.0,792.0,80
Diogo,Teixeira da Silva,7,4,1125,304.2,337.0,86
Darwin,Núñez Ribeiro,9,5,1684,458.2,1078.0,86
Erling,Haaland,36,9,2767,1390.0,1825.0,124
Julián,Álvarez,9,3,1448,430.8,545.0,61
Liam,Delap,0,0,0,0.0,0.0,44
Cristiano Ronaldo,dos Santos Aveiro,1,0,519,63.8,218.0,102
Anthony,Martial,6,3,970,305.2,376.0,63
Shola,Shoretire,0,0,0,0.0,0.0,45
Wout,Weghorst,0,1,790,97.6,140.0,54
Callum,Wilson,18,6,1870,720.0,1020.0,73
Dwight,Gayle,0,0,0,0.0,0.0,45
Alexander,Isak,10,2,1520,475.0,693.0,70
Chris,Wood,3,0,807,145.2,169.0,56
Lyle,Taylor,0,0,0,0.0,0.0,41
Sam,Surridge,1,0,306,59.4,92.0,46
Brennan,Johnson,8,5,2930,478.2,729.0,55
Taiwo,Awoniyi,10,1,1395,375.8,378.0,56
Emmanuel,Dennis,2,2,709,166.4,286.0,56
Dale,Taylor,0,0,0,0.0,0.0,45
Adam,Armstrong,2,1,1321,142.0,275.0,53
Che,Adams,5,5,1987,340.4,583.0,60
Sékou,Mara,1,2,538,104.8,169.0,53
Jimmy,Morgan,0,0,0,0.0,0.0,45
Paul,Onuachu,0,0,401,30.2,126.0,53
Dominic,Ballard,0,0,24,1.0,0.0,45
Harry,Kane,30,9,3406,1256.6,1707.0,115
Dane,Scarlett,0,0,0,0.0,0.0,45
Troy,Parrott,0,0,0,0.0,0.0,45
Richarlison,de Andrade,1,5,995,201.6,401.0,84
Danny,Ings,8,2,1579,398.4,604.0,63
Michail,Antonio,5,3,1822,305.8,559.0,69
Gianluca,Scamacca,3,0,921,151.8,312.0,66
Divin,Mubama,0,0,36,2.4,0.0,45
Raúl,Jiménez,0,2,839,74.6,273.0,65
Fabio,Silva,0,0,0,0.0,0.0,55
Sasa,Kalajdzic,0,0,45,0.0,9.0,53
Diego,Da Silva Costa,1,0,1235,96.8,504.0,53
Nathan,Fraser,0,0,0,0.0,0.0,45
Matheus,Santos Carneiro Da Cunha,2,0,961,143.0,217.0,53
